leg,tickLead,tickRace,distance,area
0,842.0,842.0,163.61,0.0
0,2092.0,2092.0,163.534,0.0
0,2097.0,2097.0,163.422,0.0
0,2102.0,2102.0,163.319,0.0
0,2107.0,2107.0,163.218,0.0
0,2112.0,2112.0,163.114,0.0
0,2117.0,2117.0,163.009,0.0
1,2122.0,2122.0,162.911,0.0
1,2127.0,2127.0,162.856,0.0
1,2132.0,2132.0,162.843,0.0
1,2187.0,2187.0,162.739,0.0
1,2192.0,2192.0,162.629,0.0
1,2197.0,2197.0,162.516,0.0
1,2202.0,2202.0,162.411,0.0
1,2207.0,2207.0,162.302,0.0
1,2212.0,2212.0,162.201,0.0
1,2217.0,2217.0,162.102,0.0
1,2222.0,2222.0,161.992,0.0
1,2227.0,2227.0,161.873,0.0
1,2232.0,2232.0,161.751,0.0
1,2237.0,2237.0,161.627,0.0
1,2242.0,2242.0,161.5,0.0
1,2247.0,2247.0,161.378,0.0
1,2252.0,2252.0,161.257,0.0
1,2257.0,2257.0,161.133,0.0
1,2262.0,2262.0,161.015,0.0
1,2267.0,2267.0,160.894,0.0
1,2272.0,2272.0,160.771,0.0
1,2277.0,2277.0,160.649,0.0
1,2282.0,2282.0,160.54,0.0
1,2287.0,2287.0,160.455,0.0
1,2292.0,2292.0,160.428,0.0
1,2317.0,2317.0,160.339,0.0
1,2322.0,2322.0,160.318,0.0
1,2338.0,2338.0,160.217,0.0
1,2343.0,2343.0,160.175,0.0
1,2358.0,2358.0,160.076,0.0
1,2363.0,2363.0,160.022,0.0
1,2383.0,2383.0,159.995,0.0
1,2388.0,2388.0,159.952,0.0
1,2403.0,2403.0,159.905,0.0
1,2408.0,2408.0,159.865,0.0
1,2428.0,2428.0,159.808,0.0
1,2433.0,2433.0,159.795,0.0
1,2453.0,2453.0,159.777,0.0
1,2473.0,2473.0,159.768,0.0
1,2488.0,2488.0,159.721,0.0
1,2493.0,2493.0,159.641,0.0
1,2498.0,2498.0,159.607,0.0
1,2513.0,2513.0,159.604,0.0
1,2518.0,2518.0,159.519,0.0
1,2523.0,2523.0,159.44,0.0
1,2528.0,2528.0,159.434,0.0
1,2543.0,2543.0,159.354,0.0
1,2548.0,2548.0,159.315,0.0
1,2568.0,2568.0,159.23,0.0
1,2573.0,2573.0,159.146,0.0
1,2578.0,2578.0,159.108,0.0
1,2598.0,2598.0,159.035,0.0
1,2603.0,2603.0,158.968,0.0
1,2623.0,2623.0,158.899,0.0
1,2628.0,2628.0,158.87,0.0
1,2648.0,2648.0,158.797,0.0
1,2663.0,2663.0,158.757,0.0
1,2668.0,2668.0,158.723,0.0
1,2688.0,2688.0,158.678,0.0
1,2693.0,2693.0,158.593,0.0
1,2698.0,2698.0,158.504,0.0
1,2703.0,2703.0,158.467,0.0
1,2713.0,2713.0,158.445,0.0
1,2728.0,2728.0,158.381,0.0
1,2743.0,2743.0,158.332,0.0
1,2748.0,2748.0,158.309,0.0
1,2758.0,2758.0,158.271,0.0
1,2763.0,2763.0,158.264,0.0
1,2773.0,2773.0,158.245,0.0
1,2778.0,2778.0,158.157,0.0
1,2783.0,2783.0,158.093,0.0
1,2803.0,2803.0,158.07,0.0
1,2818.0,2818.0,157.98,0.0
1,2823.0,2823.0,157.892,0.0
1,2828.0,2828.0,157.806,0.0
1,2833.0,2833.0,157.719,0.0
1,2838.0,2838.0,157.653,0.0
1,2853.0,2853.0,157.627,0.0
1,2858.0,2858.0,157.538,0.0
1,2863.0,2863.0,157.458,0.0
1,2868.0,2868.0,157.377,0.0
1,2873.0,2873.0,157.337,0.0
1,2888.0,2888.0,157.276,0.0
1,2893.0,2893.0,157.247,0.0
1,2908.0,2908.0,157.222,0.0
1,2913.0,2913.0,157.14,0.0
1,2918.0,2918.0,157.134,0.0
1,2929.0,2929.0,157.13,0.0
1,2934.0,2934.0,157.04,0.0
1,2939.0,2939.0,156.994,0.0
1,2949.0,2949.0,156.991,0.0
1,2954.0,2954.0,156.914,0.0
1,2959.0,2959.0,156.885,0.0
1,2974.0,2974.0,156.884,0.0
1,2979.0,2979.0,156.804,0.0
1,2994.0,2994.0,156.771,0.0
1,2999.0,2999.0,156.673,0.0
1,3004.0,3004.0,156.571,0.0
1,3009.0,3009.0,156.476,0.0
1,3014.0,3014.0,156.38,0.0
1,3019.0,3019.0,156.362,0.0
1,3029.0,3029.0,156.316,0.0
1,3034.0,3034.0,156.293,0.0
1,3044.0,3044.0,156.245,0.0
1,3049.0,3049.0,156.193,0.0
1,3064.0,3064.0,156.134,0.0
1,3069.0,3069.0,156.132,0.0
1,3079.0,3079.0,156.112,0.0
1,3084.0,3084.0,156.023,0.0
1,3089.0,3089.0,155.988,0.0
1,3104.0,3104.0,155.934,0.0
1,3109.0,3109.0,155.844,0.0
1,3114.0,3114.0,155.78,0.0
1,3139.0,3139.0,155.735,0.0
1,3159.0,3159.0,155.699,0.0
1,3164.0,3164.0,155.677,0.0
1,3179.0,3179.0,155.659,0.0
1,3184.0,3184.0,155.601,0.0
1,3204.0,3204.0,155.514,0.0
1,3209.0,3209.0,155.415,0.0
1,3214.0,3214.0,155.305,0.0
1,3219.0,3219.0,155.196,0.0
1,3224.0,3224.0,155.088,0.0
1,3229.0,3229.0,154.983,0.0
1,3234.0,3234.0,154.88,0.0
1,3239.0,3239.0,154.779,0.0
1,3244.0,3244.0,154.662,0.0
1,3249.0,3249.0,154.555,0.0
1,3254.0,3254.0,154.448,0.0
2,3259.0,3259.0,154.329,2.4911961375248093e-9
2,3264.0,3264.0,154.21,2.4930950458163815e-9
2,3269.0,3269.0,154.093,2.4530714031115322e-9
2,3274.0,3274.0,153.99,2.1613011822978174e-9
2,3279.0,3279.0,153.879,2.3311059512851336e-9
2,3284.0,3284.0,153.765,2.3960071286295293e-9
2,3289.0,3289.0,153.631,2.8183734590867113e-9
2,3294.0,3294.0,153.528,2.1679822450262652e-9
2,3299.0,3299.0,153.43,2.0645195718702593e-9
2,3304.0,3304.0,153.319,2.3403339333401204e-9
2,3309.0,3309.0,153.214,2.2156183759999763e-9
2,3314.0,3314.0,153.11,2.196334706867749e-9
2,3319.0,3319.0,153.002,2.282669412531336e-9
2,3324.0,3324.0,152.903,2.09418209395713e-9
2,3329.0,3329.0,152.822,1.7149893376947869e-9
2,3334.0,3334.0,152.735,1.8437784817940423e-9
2,3339.0,3339.0,152.636,2.0999601893757637e-9
2,3344.0,3344.0,152.542,1.9956253015560514e-9
2,3349.0,3349.0,152.457,1.8061929604427702e-9
2,3354.0,3354.0,152.381,1.6165063344808477e-9
2,3359.0,3359.0,152.285,2.043792891006136e-9
2,3364.0,3364.0,152.189,2.045545242843784e-9
2,3369.0,3369.0,152.096,1.9833353842717393e-9
2,3374.0,3374.0,152.017,1.6863154211702805e-9
2,3379.0,3379.0,151.935,1.7520185745487526e-9
2,3384.0,3384.0,151.881,1.1549585876486382e-9
2,3389.0,3389.0,151.824,1.2204781902386266e-9
2,3394.0,3394.0,151.759,1.393266835625813e-9
2,3399.0,3399.0,151.688,1.5234353126607214e-9
2,3404.0,3404.0,151.619,1.4820154536239827e-9
2,3409.0,3409.0,151.559,1.290053115480716e-9
2,3414.0,3414.0,151.497,1.334472872078491e-9
2,3419.0,3419.0,151.416,1.7451537245413261e-9
2,3424.0,3424.0,151.353,1.3586805817454568e-9
2,3429.0,3429.0,151.288,1.4032668366899088e-9
2,3434.0,3434.0,151.213,1.6207649099309381e-9
2,3439.0,3439.0,151.139,1.6006942979992018e-9
2,3444.0,3444.0,151.057,1.7754046920900576e-9
2,3450.0,3450.0,150.974,1.7992038205345266e-9
2,3455.0,3455.0,150.888,1.865892438492167e-9
2,3460.0,3460.0,150.799,1.932655105906704e-9
2,3465.0,3465.0,150.71,1.9343060158495305e-9
2,3470.0,3470.0,150.63,1.740235013222396e-9
2,3475.0,3475.0,150.553,1.676515780208427e-9
2,3480.0,3480.0,150.456,2.113791347179957e-9
2,3485.0,3485.0,150.368,1.9192413543010953e-9
2,3490.0,3490.0,150.276,2.0081560218985465e-9
2,3495.0,3495.0,150.188,1.9224451314848547e-9
2,3500.0,3500.0,150.09,2.142640409221848e-9
2,3505.0,3505.0,149.997,2.0349315692487904e-9
2,3510.0,3510.0,149.893,2.2773726284267313e-9
2,3515.0,3515.0,149.801,2.01615009955999e-9
2,3520.0,3520.0,149.705,2.1054798049239402e-9
2,3525.0,3525.0,149.598,2.348473292089044e-9
2,3530.0,3530.0,149.49,2.3720787673020913e-9
2,3535.0,3535.0,149.399,2.0001952844987994e-9
2,3540.0,3540.0,149.301,2.155739189713742e-9
2,3545.0,3545.0,149.206,2.091346631743024e-9
2,3550.0,3550.0,149.098,2.379265142931484e-9
2,3555.0,3555.0,148.989,2.4029282093004804e-9
2,3560.0,3560.0,148.886,2.2722333755213128e-9
2,3565.0,3565.0,148.795,2.0090174041739883e-9
2,3570.0,3570.0,148.71,1.878075587702814e-9
2,3575.0,3575.0,148.628,1.8133096427180603e-9
2,3580.0,3580.0,148.523,2.3237059950926133e-9
2,3585.0,3585.0,148.415,2.39172008793745e-9
2,3590.0,3590.0,148.304,2.4597696613868996e-9
2,3595.0,3595.0,148.184,2.6608409636301655e-9
2,3600.0,3600.0,148.066,2.6180294266416364e-9
2,3605.0,3605.0,147.947,2.641767977059954e-9
2,3610.0,3610.0,147.828,2.643305033397147e-9
2,3615.0,3615.0,147.712,2.578185825962151e-9
2,3620.0,3620.0,147.588,2.7575624669545197e-9
2,3625.0,3625.0,147.476,2.4921484922603583e-9
2,3630.0,3630.0,147.379,2.159824745428115e-9
2,3635.0,3635.0,147.28,2.205926190659915e-9
2,3640.0,3640.0,147.167,2.5195246842784463e-9
2,3645.0,3645.0,147.056,2.476445572375297e-9
2,3650.0,3650.0,146.952,2.321758307433975e-9
2,3655.0,3655.0,146.877,1.6756177736681436e-9
2,3660.0,3660.0,146.81,1.4982085379886084e-9
2,3665.0,3665.0,146.759,1.1415265191573314e-9
2,3670.0,3670.0,146.716,9.634679842191185e-10
2,3675.0,3675.0,146.66,1.2560346199776808e-9
2,3680.0,3680.0,146.6,1.3470495027474865e-9
2,3685.0,3685.0,146.525,1.6853234832155988e-9
2,3690.0,3690.0,146.442,1.866615290424011e-9
2,3695.0,3695.0,146.368,1.6655731980562114e-9
2,3700.0,3700.0,146.298,1.5768983276992052e-9
2,3705.0,3705.0,146.247,1.1499599752455236e-9
2,3710.0,3710.0,146.22,6.094613940602568e-10
2,3715.0,3715.0,146.176,9.942934497185474e-10
2,3720.0,3720.0,146.107,1.5607280780052688e-9
2,3725.0,3725.0,146.023,1.901574647000626e-9
2,3730.0,3730.0,145.937,1.9483289990893144e-9
2,3735.0,3735.0,145.824,2.561698093678707e-9
2,3740.0,3740.0,145.703,2.744526399592596e-9
2,3745.0,3745.0,145.622,1.8384264201282246e-9
2,3750.0,3750.0,145.537,1.9306878750295227e-9
2,3755.0,3755.0,145.445,2.09119990199816e-9
2,3760.0,3760.0,145.398,1.0692419152556826e-9
2,3780.0,3780.0,145.327,1.6231706617250326e-9
2,3785.0,3785.0,145.307,4.576926679522921e-10
2,3805.0,3805.0,145.268,8.970345513710259e-10
2,3810.0,3810.0,145.254,3.2237673555157955e-10
2,3830.0,3830.0,145.249,1.1573135997196876e-10
2,3835.0,3835.0,145.195,1.251276228391182e-9
2,3850.0,3850.0,145.192,6.977354854170497e-11
2,3855.0,3855.0,145.122,1.6297540112324856e-9
2,3860.0,3860.0,145.067,1.2816297993230482e-9
2,3865.0,3865.0,145.022,1.0496026767162856e-9
2,3870.0,3870.0,144.964,1.3540903611508346e-9
2,3875.0,3875.0,144.89,1.7290771884513428e-9
2,3880.0,3880.0,144.794,2.2447042245294943e-9
2,3885.0,3885.0,144.72,1.7315058739814225e-9
2,3890.0,3890.0,144.656,1.4987311748571786e-9
2,3895.0,3895.0,144.604,1.2187955057936243e-9
2,3900.0,3900.0,144.538,1.5482866884125723e-9
2,3905.0,3905.0,144.464,1.7373417760564774e-9
2,3910.0,3910.0,144.381,1.9500752060150606e-9
2,3915.0,3915.0,144.301,1.880932088162662e-9
2,3920.0,3920.0,144.236,1.5294405212739707e-9
2,3925.0,3925.0,144.187,1.1539773575958155e-9
2,3930.0,3930.0,144.147,9.42931306757479e-10
2,3935.0,3935.0,144.12,6.37140314986068e-10
2,3940.0,3940.0,144.078,9.921289707410158e-10
2,3945.0,3945.0,144.028,1.1822272659417003e-9
2,3950.0,3950.0,143.979,1.1596525189216955e-9
2,3955.0,3955.0,143.92,1.3975595186023003e-9
2,3960.0,3960.0,143.85,1.659473797155286e-9
2,3965.0,3965.0,143.782,1.6133216507073321e-9
2,3970.0,3970.0,143.716,1.567115213543903e-9
2,3975.0,3975.0,143.644,1.7109117189491293e-9
2,3980.0,3980.0,143.571,1.7359799555644837e-9
2,3985.0,3985.0,143.502,1.642106880924847e-9
2,3990.0,3990.0,143.435,1.5957538773219243e-9
2,3996.0,3996.0,143.381,1.2875208501243101e-9
2,4001.0,4001.0,143.326,1.3125056872733909e-9
2,4006.0,4006.0,143.268,1.3852803986317642e-9
2,4011.0,4011.0,143.21,1.386448008343105e-9
2,4016.0,4016.0,143.143,1.6028832878919088e-9
2,4021.0,4021.0,143.083,1.4365675809120726e-9
2,4026.0,4026.0,143.026,1.3658776612832098e-9
2,4031.0,4031.0,142.969,1.3670290730472291e-9
2,4036.0,4036.0,142.902,1.6081543053131171e-9
2,4041.0,4041.0,142.827,1.8015075712836198e-9
2,4046.0,4046.0,142.757,1.6826331750033025e-9
2,4051.0,4051.0,142.722,8.420465696508024e-10
2,4071.0,4071.0,142.695,6.526440156409091e-10
2,4076.0,4076.0,142.628,1.6209791038771217e-9
2,4081.0,4081.0,142.552,1.8400554402437855e-9
2,4086.0,4086.0,142.497,1.332638114193072e-9
2,4091.0,4091.0,142.455,1.0185494908791379e-9
2,4096.0,4096.0,142.448,1.699364990731122e-10
2,4121.0,4121.0,142.392,1.3674872167549823e-9
2,4126.0,4126.0,142.334,1.417476934714204e-9
2,4131.0,4131.0,142.298,8.805886364118607e-10
2,4151.0,4151.0,142.272,6.389205426476639e-10
2,4156.0,4156.0,142.201,1.7462507152347866e-9
2,4161.0,4161.0,142.129,1.7720850180450628e-9
2,4166.0,4166.0,142.034,2.339602391548415e-9
2,4171.0,4171.0,141.945,2.1930477036346987e-9
2,4176.0,4176.0,141.868,1.898519910618893e-9
2,4181.0,4181.0,141.797,1.7517653292195213e-9
2,4186.0,4186.0,141.711,2.123218306980778e-9
2,4191.0,4191.0,141.621,2.2232456648197273e-9
2,4196.0,4196.0,141.524,2.3974401120405464e-9
2,4201.0,4201.0,141.421,2.5469685754500027e-9
2,4206.0,4206.0,141.321,2.4739518948217918e-9
2,4211.0,4211.0,141.222,2.4503980870738326e-9
2,4216.0,4216.0,141.124,2.4268334590036966e-9
2,4221.0,4221.0,141.033,2.254650500145351e-9
2,4226.0,4226.0,140.949,2.0823888125915583e-9
2,4231.0,4231.0,140.855,2.3315766044169506e-9
2,4236.0,4236.0,140.761,2.3327746500640823e-9
2,4241.0,4241.0,140.664,2.4084317183527777e-9
2,4246.0,4246.0,140.574,2.2357753143756894e-9
2,4251.0,4251.0,140.48,2.3363633546081614e-9
2,4256.0,4256.0,140.376,2.5861298164985847e-9
2,4261.0,4261.0,140.27,2.6369865383809365e-9
2,4266.0,4266.0,140.155,2.8619831771558666e-9
2,4271.0,4271.0,140.045,2.738558635975315e-9
2,4276.0,4276.0,139.941,2.5902340525115463e-9
2,4281.0,4281.0,139.838,2.5664288148741536e-9
2,4286.0,4286.0,139.731,2.667206335159193e-9
2,4291.0,4291.0,139.626,2.6184183050216377e-9
2,4296.0,4296.0,139.552,1.8463279354387732e-9
2,4301.0,4301.0,139.532,4.994201189528004e-10
2,4321.0,4321.0,139.47,1.554944630217246e-9
2,4326.0,4326.0,139.389,2.0327681911598017e-9
2,4331.0,4331.0,139.301,2.209652083486753e-9
2,4336.0,4336.0,139.191,2.7632891984483337e-9
2,4341.0,4341.0,139.093,2.4628374867304155e-9
2,4346.0,4346.0,138.988,2.639866678513733e-9
2,4351.0,4351.0,138.902,2.1631772653852276e-9
2,4356.0,4356.0,138.84,1.5604604851788772e-9
2,4361.0,4361.0,138.752,2.2161918904129798e-9
2,4366.0,4366.0,138.674,1.965428054318848e-9
2,4371.0,4371.0,138.591,2.092597037812953e-9
2,4376.0,4376.0,138.511,2.0180811100678022e-9
2,4381.0,4381.0,138.432,1.993987325715332e-9
2,4386.0,4386.0,138.346,2.1718523745327472e-9
2,4391.0,4391.0,138.268,1.970896658891716e-9
2,4396.0,4396.0,138.181,2.1994982273055794e-9
2,4401.0,4401.0,138.096,2.150040706255105e-9
2,4406.0,4406.0,138.012,2.1258588510407305e-9
2,4411.0,4411.0,137.933,2.000406858772306e-9
2,4416.0,4416.0,137.838,2.4067607515586894e-9
2,4421.0,4421.0,137.747,2.306477058438749e-9
2,4426.0,4426.0,137.643,2.6370876906322715e-9
2,4431.0,4431.0,137.548,2.4098568105413184e-9
2,4436.0,4436.0,137.45,2.487017293217599e-9
2,4441.0,4441.0,137.359,2.31038722163847e-9
2,4446.0,4446.0,137.264,2.4130239218527664e-9
2,4451.0,4451.0,137.168,2.4394686124395184e-9
2,4456.0,4456.0,137.069,2.5167384414220168e-9
2,4462.0,4462.0,136.966,2.6200192494564393e-9
2,4467.0,4467.0,136.877,2.2648490378020297e-9
2,4472.0,4472.0,136.801,1.9350265632159373e-9
2,4477.0,4477.0,136.733,1.7323633217119221e-9
2,4482.0,4482.0,136.67,1.6060066305122132e-9
2,4487.0,4487.0,136.605,1.65806283860589e-9
2,4492.0,4492.0,136.549,1.4294435054240349e-9
2,4497.0,4497.0,136.493,1.4304478444801653e-9
2,4502.0,4502.0,136.446,1.2014358898685672e-9
2,4507.0,4507.0,136.411,8.954108630304734e-10
2,4512.0,4512.0,136.387,6.145442666435986e-10
2,4517.0,4517.0,136.352,8.97009485092204e-10
2,4522.0,4522.0,136.314,9.74713089661364e-10
2,4527.0,4527.0,136.272,1.0781892272354357e-9
2,4532.0,4532.0,136.223,1.258856352134767e-9
2,4537.0,4537.0,136.162,1.5682433642947112e-9
2,4542.0,4542.0,136.082,2.05791337878915e-9
2,4547.0,4547.0,136.03,1.3384669406178275e-9
2,4552.0,4552.0,136.015,3.86425624397586e-10
2,4557.0,4557.0,135.994,5.415184447246103e-10
2,4557.0,4557.0,135.994,3.41646460729028e8
